brand,model,type,mp,optical_zoom,digital_zoom,screen_size,price,matches
aiptek,dv 4500,,,,,,,{'www.price-hunt.com//9822'}
aiptek,dv 6800,point & shoot,3.0,,,2.4,,{'www.ebay.com//52962'}
aiptek,dv m2,,,16.0,4.0,,,{'www.price-hunt.com//9759'}
aiptek,i2,3d,5.0,,,2.4,,{'www.ebay.com//44803'}
aiptek,,point & shoot,0.4,,,,,{'www.ebay.com//45527'}
aiptek,,point & shoot,0.4,,,,,{'www.ebay.com//54121'}
aiptek,,mini digital camera,,,,,,{'www.ebay.com//58858'}
aiptek,,point & shoot,0.3,,,,,{'www.ebay.com//60523'}
aiptek,,,,5.0,5.0,,,{'www.price-hunt.com//899'}
aiptek,pcm13,compact camera,,,,,,{'buy.net//6583'}
aiptek,v50,point & shoot,8.0,,,2.4,,{'www.ebay.com//42291'}
apple,iphon5c,,,,,,,{'www.alibaba.com//22938'}
apple,iphone 4,,,,,,,{'www.alibaba.com//34552'}
apple,iphone 5,,,,,,2.5,"{'www.alibaba.com//35532', 'www.alibaba.com//27952'}"
apple,md101ll,macbook,,,,,,{'www.ebay.com//44027'}
apple,quicktake 150,point & shoot,,,,,,{'www.ebay.com//47309'}
apple,quicktake 200,point & shoot,0.3,,,1.8,,"{'www.ebay.com//59333', 'www.ebay.com//45605'}"
argus,dc 2185,,2.1,,,,,{'www.ebay.com//57192'}
argus,dc 3185,point & shoot,3.2,,,1.1,,"{'www.ebay.com//43231', 'www.ebay.com//45356'}"
argus,dc 6340,point & shoot,6.0,3.0,,2.0,,{'www.ebay.com//56031'}
argus,dc-1500,,,,8.0,2.7,38.93,{'www.shopmania.in//717'}
argus,dc1512,point & shoot,0.1,,,,,{'www.ebay.com//42914'}
argus,,point & shoot,0.3,,,,,{'www.ebay.com//45106'}
argus,,35 mm,,,,,,{'www.ebay.com//60311'}
bell+howell,,,,,8.0,,,{'www.walmart.com//724'}
bell+howell,,,12.0,,8.0,,,{'www.walmart.com//760'}
bell+howell,,,12.0,,8.0,,,{'www.walmart.com//782'}
bell+howell,s16,,16.0,,8.0,,,{'www.walmart.com//716'}
howell,s30hdz,point & shoot,15.0,5.0,4.0,2.7,,"{'www.ebay.com//53122', 'www.walmart.com//648', 'www.walmart.com//761', 'www.ebay.com//44489', 'www.walmart.com//645', 'www.ebay.com//25103', 'www.ebay.com//53584'}"
howell,wp10,point & shoot,12.0,1.0,8.0,2.4,,"{'www.ebay.com//46559', 'www.walmart.com//661', 'www.ebay.com//24325', 'www.ebay.com//24076', 'www.ebay.com//24542'}"
howell,wp16,underwater,16.0,,4.0,2.5,,"{'www.ebay.com//46987', 'www.walmart.com//664', 'www.ebay.com//59538'}"
bell+howell,wv30hd,,,,8.0,,,{'www.walmart.com//736'}
benq,ae100,,,5.0,12.0,2.7,,{'www.pricedekho.com//1106'}
benq,ae220,,,5.0,5.0,,,{'www.mypriceindia.com//6'}
benq,c1035,,,,,,,{'www.pricedekho.com//1024'}
benq,c1430,,,3.0,5.0,,,{'www.shopmania.in//693'}
benq,c1450,,,3.0,5.0,2.7,,{'www.shopmania.in//1557'}
benq,c1480,,,,5.0,2.7,,{'www.shopmania.in//1642'}
benq,d35,,,,10.0,,,{'www.price-hunt.com//913'}
benq,e1480,,,,5.0,2.7,,{'www.shopmania.in//1118'}
benq,g1,point & shoot,14.0,,,,,"{'www.ebay.com//57119', 'www.ebay.com//44263'}"
benq,gh210,,,12.5,4.0,,,{'www.price-hunt.com//858'}
benq,gh600,,,21.0,12.0,3.0,,{'www.pricedekho.com//1113'}
benq,lh500,point & shoot,16.0,24.0,,3.0,,"{'www.ebay.com//42795', 'www.ebay.com//42028'}"
benq,lm100,,,4.0,5.0,2.7,,{'www.pricedekho.com//1149'}
