name,sex,age,height,weight,country,sport
Joan Herp Morell,M,22.0,186.0,70.0,Spain,Sailing
Anna V'iacheslavivna Voloshyna,F,24.0,168.0,53.0,Ukraine,Synchronized Swimming
Hlder Rocha Silva,M,29.0,176.0,73.0,Portugal,Canoeing
Chen Wei-Ling,F,34.0,149.0,47.0,Taiwan,Weightlifting
Josateki Naulu,M,32.0,175.0,81.0,Fiji,Judo
Anastasia Rodionova,F,34.0,167.0,59.0,Australia,Tennis
Are Weierholt Strandli,M,27.0,181.0,69.0,Norway,Rowing
James Adede,M,29.0,162.0,92.0,Kenya,Weightlifting
Timo Boll,M,35.0,181.0,74.0,Germany,Table Tennis
Isobel Bishop,F,24.0,180.0,72.0,Australia,Water Polo
Urban Lesjak,M,25.0,187.0,103.0,Slovenia,Handball
Jovana de la Cruz Capani,F,24.0,161.0,53.0,Peru,Athletics
Maria Magdalena Garro,F,27.0,160.0,60.0,Argentina,Canoeing
Jessica Parratto,F,22.0,157.0,51.0,USA,Diving
Phumlile Ndzinisa,F,23.0,170.0,57.0,Swaziland,Athletics
Kasper Winther Jrgensen,M,31.0,182.0,73.0,Denmark,Rowing
Nomi Girardet,F,21.0,174.0,61.0,Switzerland,Swimming
Mrton Szivs,M,34.0,192.0,95.0,Hungary,Water Polo
Elisa Rigaudo,F,36.0,168.0,53.0,Italy,Athletics
Nicolas Colsaerts,M,33.0,188.0,78.0,Belgium,Golf
Mirco Pruijser,M,26.0,194.0,87.0,Netherlands,Hockey
Lucas Tramr,M,26.0,183.0,75.0,Switzerland,Rowing
Reda Benbaziz,M,22.0,175.0,60.0,Algeria,Boxing
Minami Itahashi,F,16.0,150.0,47.0,Japan,Diving
Andrew Lewis,M,26.0,177.0,84.0,Trinidad,Sailing
Diana Carolina Ospina Garca,F,27.0,157.0,64.0,Colombia,Football
Rick Yves Confiance,M,22.0,165.0,62.0,Seychelles,Weightlifting
Segundo Oswaldo Jami Jami,M,30.0,165.0,54.0,Ecuador,Athletics
"Jessica ""Jess"" Thornton",F,18.0,170.0,59.0,Australia,Athletics
Berthrade Simone Flore Bikatal,F,24.0,183.0,76.0,Cameroon,Volleyball
Michael Shelley,M,32.0,183.0,60.0,Australia,Athletics
Wei Ning,F,33.0,167.0,60.0,China,Shooting
Olena Serhivna Hrechykhina,F,25.0,178.0,61.0,Ukraine,Synchronized Swimming
Juan Ignacio Gilardi,M,34.0,186.0,91.0,Argentina,Hockey
Jonathan Castroviejo Nicols,M,29.0,172.0,64.0,Spain,Cycling
Shu Siyao,F,23.0,167.0,52.0,China,Rhythmic Gymnastics
