name,style,ounces,abv,ibu,brewery,city,state
Pub Beer,American Pale Lager,12.0,5.0,,10 Barrel Brewing Company,Bend,OR
Devil's Cup,American Pale Ale (APA),12.0,6.6,,18th Street Brewery,Gary,IN
Rise of the Phoenix,American IPA,12.0,7.1,,18th Street Brewery,Gary,IN
Sinister,American Double / Imperial IPA,12.0,9.0,,18th Street Brewery,Gary,IN
Sex and Candy,American IPA,12.0,7.5,,18th Street Brewery,Gary,IN
Black Exodus,Oatmeal Stout,12.0,7.7,,18th Street Brewery,Gary,IN
Lake Street Express,American Pale Ale (APA),12.0,4.5,,18th Street Brewery,Gary,IN
Foreman,American Porter,12.0,6.5,,18th Street Brewery,Gary,IN
Jade,American Pale Ale (APA),12.0,5.5,,18th Street Brewery,Gary,IN
Cone Crusher,American Double / Imperial IPA,12.0,8.6,,18th Street Brewery,Gary,IN
Sophomoric Saison,Saison / Farmhouse Ale,12.0,7.2,,18th Street Brewery,Gary,IN
Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,7.3,,18th Street Brewery,Gary,IN
Garce Selé,Saison / Farmhouse Ale,12.0,6.9,,18th Street Brewery,Gary,IN
Troll Destroyer,Belgian IPA,12.0,8.5,,18th Street Brewery,Gary,IN
Bitter Bitch,American Pale Ale (APA),12.0,6.1,60.0,18th Street Brewery,Gary,IN
Ginja Ninja,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
Cherried Away,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
Rhubarbarian,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
BrightCider,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
He Said Baltic-Style Porter,Baltic Porter,12.0,8.2,,21st Amendment Brewery,San Francisco,CA
He Said Belgian-Style Tripel,Tripel,12.0,8.2,,21st Amendment Brewery,San Francisco,CA
Lower De Boom,American Barleywine,8.4,9.9,92.0,21st Amendment Brewery,San Francisco,CA
Fireside Chat,Winter Warmer,12.0,7.9,45.0,21st Amendment Brewery,San Francisco,CA
Marooned On Hog Island,American Stout,12.0,7.9,,21st Amendment Brewery,San Francisco,CA
Bitter American,American Pale Ale (APA),12.0,4.4,42.0,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,4.9,17.0,21st Amendment Brewery,San Francisco,CA
21st Amendment Watermelon Wheat Beer,Fruit / Vegetable Beer,12.0,4.9,17.0,21st Amendment Brewery,San Francisco,CA
21st Amendment IPA,American IPA,12.0,7.0,70.0,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA,American IPA,12.0,7.0,70.0,21st Amendment Brewery,San Francisco,CA
Special Edition: Allies Win The War!,English Strong Ale,12.0,8.5,52.0,21st Amendment Brewery,San Francisco,CA
Hop Crisis,American Double / Imperial IPA,12.0,9.7,94.0,21st Amendment Brewery,San Francisco,CA
Back in Black,American Black Ale,12.0,6.8,65.0,21st Amendment Brewery,San Francisco,CA
Monk's Blood,Belgian Dark Ale,12.0,8.3,35.0,21st Amendment Brewery,San Francisco,CA
Bimini Twist,American IPA,12.0,7.0,82.0,3 Daughters Brewing,St Petersburg,FL
Beach Blonde,American Blonde Ale,12.0,5.0,,3 Daughters Brewing,St Petersburg,FL
Rod Bender Red,American Amber / Red Ale,12.0,5.9,,3 Daughters Brewing,St Petersburg,FL
Passion Fruit Prussia,Berliner Weissbier,12.0,3.5,11.0,4 Hands Brewing Company,Saint Louis,MO
Send Help,American Blonde Ale,12.0,4.5,18.0,4 Hands Brewing Company,Saint Louis,MO
Cast Iron Oatmeal Brown,American Brown Ale,12.0,5.5,,4 Hands Brewing Company,Saint Louis,MO
Reprise Centennial Red,American Amber / Red Ale,12.0,6.0,,4 Hands Brewing Company,Saint Louis,MO
Alter Ego,American Black Ale,12.0,5.5,,4 Hands Brewing Company,Saint Louis,MO
Divided Sky,American IPA,12.0,6.5,,4 Hands Brewing Company,Saint Louis,MO
Resurrected,American IPA,12.0,6.5,,4 Hands Brewing Company,Saint Louis,MO
Contact High,American Pale Wheat Ale,12.0,5.0,28.0,4 Hands Brewing Company,Saint Louis,MO
Galaxyfest,American IPA,16.0,6.5,,450 North Brewing Company,Columbus,IN
Citrafest,American IPA,16.0,5.0,45.0,450 North Brewing Company,Columbus,IN
Barn Yeti,Belgian Strong Dark Ale,16.0,9.0,,450 North Brewing Company,Columbus,IN
Scarecrow,American IPA,16.0,6.9,65.0,450 North Brewing Company,Columbus,IN
Ironman,English Strong Ale,16.0,9.0,50.0,450 North Brewing Company,Columbus,IN
Honey Kolsch,Kölsch,16.0,4.6,15.0,450 North Brewing Company,Columbus,IN
Copperhead Amber,Belgian Dark Ale,16.0,5.2,18.0,450 North Brewing Company,Columbus,IN
