l_id,r_id
athlete_0,athlete_69
athlete_0,athlete_90
athlete_0,athlete_178
athlete_0,athlete_237
athlete_0,athlete_810
athlete_0,athlete_854
athlete_0,athlete_1113
athlete_0,athlete_1162
athlete_0,athlete_1476
athlete_0,athlete_1506
athlete_0,athlete_1639
athlete_0,athlete_1937
athlete_0,athlete_1992
athlete_0,athlete_2201
athlete_0,athlete_2230
athlete_0,athlete_2479
athlete_0,athlete_2611
athlete_0,athlete_2638
athlete_0,athlete_2743
athlete_0,athlete_2921
athlete_0,athlete_2945
athlete_0,athlete_3001
athlete_0,athlete_3135
athlete_0,athlete_3210
athlete_0,athlete_3268
athlete_0,athlete_3368
athlete_0,athlete_3481
athlete_0,athlete_3524
athlete_0,athlete_3539
athlete_0,athlete_3552
athlete_0,athlete_3560
athlete_0,athlete_3579
athlete_0,athlete_3641
athlete_0,athlete_4272
athlete_0,athlete_4284
athlete_0,athlete_4365
athlete_0,athlete_4427
athlete_0,athlete_4446
athlete_0,athlete_4477
athlete_0,athlete_4598
athlete_0,athlete_4605
athlete_0,athlete_4712
athlete_0,athlete_4744
athlete_0,athlete_4851
athlete_0,athlete_5225
athlete_0,athlete_5315
athlete_0,athlete_5419
athlete_0,athlete_5536
athlete_0,athlete_5648
athlete_0,athlete_5799
athlete_0,athlete_6045
athlete_0,athlete_6111
athlete_0,athlete_6219
athlete_0,athlete_6227
athlete_0,athlete_6298
athlete_0,athlete_6313
athlete_0,athlete_6321
athlete_0,athlete_6634
athlete_0,athlete_6665
athlete_0,athlete_6760
athlete_0,athlete_6878
athlete_0,athlete_7183
athlete_0,athlete_7237
athlete_0,athlete_7425
athlete_1,athlete_151
athlete_1,athlete_153
athlete_1,athlete_208
athlete_1,athlete_246
athlete_1,athlete_400
athlete_1,athlete_470
athlete_1,athlete_512
athlete_1,athlete_761
athlete_1,athlete_802
athlete_1,athlete_927
athlete_1,athlete_1008
athlete_1,athlete_1034
athlete_1,athlete_1099
athlete_1,athlete_1122
athlete_1,athlete_1125
athlete_1,athlete_1139
athlete_1,athlete_1383
athlete_1,athlete_1496
athlete_1,athlete_1780
athlete_1,athlete_1803
athlete_1,athlete_1825
athlete_1,athlete_1835
athlete_1,athlete_1862
athlete_1,athlete_1963
athlete_1,athlete_1972
athlete_1,athlete_2011
athlete_1,athlete_2026
athlete_1,athlete_2233
athlete_1,athlete_2249
athlete_1,athlete_2361
athlete_1,athlete_2452
athlete_1,athlete_2540
athlete_1,athlete_2732
athlete_1,athlete_2934
athlete_1,athlete_2942
athlete_1,athlete_3230
athlete_1,athlete_3268
athlete_1,athlete_3348
athlete_1,athlete_3465
athlete_1,athlete_3571
athlete_1,athlete_3635
athlete_1,athlete_3640
athlete_1,athlete_3849
athlete_1,athlete_3881
athlete_1,athlete_3946
athlete_1,athlete_3963
athlete_1,athlete_4075
athlete_1,athlete_4213
athlete_1,athlete_4248
athlete_1,athlete_4290
athlete_1,athlete_4577
athlete_1,athlete_4780
athlete_1,athlete_4828
athlete_1,athlete_4894
athlete_1,athlete_4975
athlete_1,athlete_5191
athlete_1,athlete_5238
athlete_1,athlete_5319
athlete_1,athlete_5474
athlete_1,athlete_5492
athlete_1,athlete_5845
athlete_1,athlete_5863
athlete_1,athlete_5876
athlete_1,athlete_6049
athlete_1,athlete_6106
athlete_1,athlete_6197
athlete_1,athlete_6264
athlete_1,athlete_6369
athlete_1,athlete_6775
athlete_1,athlete_6840
athlete_1,athlete_6987
athlete_1,athlete_7093
athlete_1,athlete_7242
athlete_1,athlete_7326
athlete_2,athlete_3
athlete_2,athlete_65
athlete_2,athlete_98
athlete_2,athlete_239
athlete_2,athlete_348
athlete_2,athlete_430
athlete_2,athlete_705
athlete_2,athlete_718
athlete_2,athlete_2120
athlete_2,athlete_2423
athlete_2,athlete_2554
athlete_2,athlete_2578
athlete_2,athlete_2637
athlete_2,athlete_2665
athlete_2,athlete_2779
athlete_2,athlete_2892
athlete_2,athlete_2979
athlete_2,athlete_3106
athlete_2,athlete_3127
athlete_2,athlete_3167
athlete_2,athlete_3254
athlete_2,athlete_3380
athlete_2,athlete_3464
athlete_2,athlete_3490
athlete_2,athlete_3657
athlete_2,athlete_3833
athlete_2,athlete_3965
athlete_2,athlete_4004
athlete_2,athlete_4013
athlete_2,athlete_4211
athlete_2,athlete_4244
athlete_2,athlete_4253
athlete_2,athlete_4494
athlete_2,athlete_4570
