_id,name,sex,age,height,weight,country,sport
athlete_0,Xiao Di,M,28.0,,100.0,China,Modern Pentathlon
athlete_1,Dipa Karmakar,F,22.0,150.0,47.0,India,Gymnastics
athlete_2,Peter Sagan,,,182.0,79.0,Slovakia,Cycling
athlete_3,Thomas Pieters,M,24.0,188.0,85.0,Belgium,Golf
athlete_4,Azucena Daz Calvo,F,33.0,163.0,55.0,Spain,Athletics
athlete_5,Kirsty Leigh Coventry (-Seward),F,32.0,176.0,64.0,Zimbabwe,Swimming
athlete_6,Pablo AlejandroAprahamian Bakerdjian,M,31.0,180.0,97.0,Uruguay,Judo
athlete_7,"Benjamin Richard ""Ben"" Maher",M,33.0,183.0,68.0,UK,Equestrianism
athlete_8,Jeong Jin-Hwa,M,27.0,183.0,75.0,South Korea,Modern Pentathlon
athlete_9,Miguel Murillo Salazar,M,,208.0,73.0,Costa Rica,Judo
athlete_10,Dylan Bosch,M,23.0,178.0,75.0,South Africa,Swimming
athlete_11,Devohn Noronha Teixeira,M,27.0,165.0,61.0,Canada,Hockey
athlete_12,Hossam Abdalla,M,,203.0,97.0,Egypt,
athlete_13,George Christopher Nash,M,26.0,195.0,96.0,UK,Rowing
athlete_14,Andr Fernando dos Santos Martins Cardoso,M,31.0,168.0,57.0,Portugal,Cycling
athlete_15,Nicole Broch Larsen,F,,179.0,75.0,Denmark,Archery
athlete_16,RimJong-Sim,F,23.0,162.0,,North Korea,
athlete_17,Shinya Yajima,M,22.0,171.0,67.0,Japan,Football
athlete_18,Yuta Wakimoto,M,27.0,181.0,74.0,Japan,Cycling
athlete_19,Akira Ioane,M,21.0,,113.0,New Zealand,Rugby Sevens
athlete_20,Ali Adnan Kadhim Nassir Al-Tameemi,M,22.0,185.0,71.0,Ira@q,Football
athlete_21,Fabienne Aline St Louis,F,28.0,171.0,55.0,Mauritius,Triathlon
athlete_22,Kingsley Madu,M,20.0,171.0,79.0,Nigeria,Football
athlete_23,Daisurami Bonne Rousseau,F,28.0,171.0,60.0,Cuba,Athletics
athlete_24,Petra Lovas,F,36.0,158.0,48.0,Hungary,Tennis
athlete_25,Sahit Prizreni,M,34.0,166.0,65.0,Australia,Wrestling
athlete_26,Jenna Prandini,F,23.0,173.0,60.0,USA,Athletics
athlete_27,Batrice Alice Kamuchanga,F,18.0,,,Democratic Republic of the Congo,Athletics
athlete_28,Kayla Pratt,F,25.0,179.0,73.0,New Zealand,Gymnastics
athlete_29,Govert Viergever,M,27.0,,85.0,Netherlands,Rowing
athlete_30,David Carver,M,28.0,187.0,87.0,,Athletics
athlete_31,Lisa Graf,F,23.0,183.0,69.0,Germany,Swimming
athlete_32,Axel Louis Augis,M,25.0,152.0,71.0,France,Gymnastics
athlete_33,Maja Mihalinec,F,26.0,175.0,,Slovenia,Athletics
athlete_34,Zhan Vensanovych Beleniuk,M,25.0,178.0,85.0,Ukraine,Wrestling
athlete_35,Armandas Kelmelis,M,18.0,193.0,86.0,Lithuania,Rowing
athlete_36,Scott Curry,M,28.0,193.0,100.0,New Zealand,Rugby Sevens
athlete_37,Mria Czakov,F,27.0,,56.0,Bhutan,Athletics
athlete_38,Darienn Ferrer Dels,M,33.0,202.0,90.0,Cuba,Volleyball
athlete_39,Mara Teresa Portela Rivas,F,34.0,151.0,69.0,,Canoeing
athlete_40,YasuDro Koseki,M,24.0,188.0,80.0,Japan,Swimming
athlete_41,Dzsenifer Marozsn,F,24.0,171.0,68.0,Germany,Football
athlete_42,Olena Dmytrivna Kostevych,F,31.0,160.0,52.0,Ukraine,Shooting
athlete_43,"Nwanyika JeneYte C. ""Anyka"" Onuora",F,31.0,178.0,76.0,UK,Athletics
athlete_44,Vladlena Eduardovna Bobrovnikova,F,28.0,180.0,72.0,Russia,Handball
athlete_45,Eric Shauwn Brazas Cray,M,27.0,176.0,70.0,,Athletics
athlete_46,Masato Sakai,M,21.0,181.0,77.0,,Swimming
athlete_47,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,USA,Gymnastics
athlete_48,Kwandakwensizwa Ishmael Mngonyama,M,,,79.0,South Africa,Football
athlete_49,Carvin Nkanati,M,25.0,,72.0,Kenya,Athletics
athlete_50,Yuichi Sugita,M,27.0,173.0,66.0,Japan,Tennis
athlete_51,Borislav Stefanov Novachkov,M,26.0,170.0,71.0,Bulgaria,Wrestling
athlete_52,Berik Abdrakhmanov,M,30.0,165.0,47.0,Kazakhstan,Boxing
athlete_53,Anuradha Devi Thokchom,F,39.0,162.0,69.0,Indi,Hockey
athlete_54,Lisa Schtze,F,19.0,,61.0,Germany,Hockey
athlete_55,Naomichi Ueda,M,21.0,186.0,77.0,Japan,Football
athlete_56,Haniel Vincius Inoue Langaro,M,15.0,202.0,104.0,Brazil,Handball
athlete_57,Cristian Gabriel Poglajen,M,27.0,195.0,94.0,Argentina,Volleyball
athlete_58,Glnabat Kadyrowa,F,22.0,165.0,69.0,Turkmenistan,Weightlifting
athlete_59,"Andrew ""Andy"" Butchart",M,24.0,175.0,64.0,UK,Athletics
athlete_60,Kim Chang-Ju,M,30.0,178.0,119.0,South Korea,Sailing
athlete_61,Phillip Kipyeko,M,21.0,,,Uganda,Athletics
athlete_62,Sbastien Dockier,M,,175.0,74.0,Belgium,Hockey
athlete_63,Askale Tiksa Benti,F,22.0,165.0,52.0,Ethiopia,Athletics
athlete_64,Lilima Minz,F,22.0,158.0,52.0,India,Hockey
athlete_65,Petr Va3o,M,24.0,180.0,,Czech Mepublic,Cycling
athlete_66,Barna Bor,M,29.0,191.0,130.0,Hungary,Judo
athlete_67,Glnabat Kadyrowa,F,,,69.0,Turkmenistan,Weightlifting
athlete_68,Tijana Bogdanovi,F,18.0,172.0,122.0,Serbia,Trampolining
athlete_69,Liang Xiaojing,F,19.0,156.0,48.0,China,Athletics
athlete_70,Katie Lauren Clark,F,22.0,168.0,52.0,UK,Synchronized Swimming
athlete_71,Gao Xinglong,M,22.0,182.0,63.0,China,Athletics
athlete_72,Miguel Murillo Salazar,M,22.0,173.0,73.0,Costa Rica,Rugby Sevens
athlete_73,Isadora Cerullo,F,25.0,158.0,58.0,Brazil,Rugby Sevens
athlete_74,Irina Yuryevna Dolgova,F,44.0,153.0,79.0,,Judo
athlete_75,Rosa Andrena Rodrguez Pargas,F,30.0,178.0,88.0,Venezuela,Athletics
athlete_76,Vitaly Vitalyevich Fokeyev,M,42.0,180.0,86.0,Russia,Shooting
athlete_77,Lkhagvasrengiin Otgonbaatar,M,23.0,182.0,,Jamaica,Judo
athlete_78,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,Gymnastics
athlete_79,Luiza Tavares de Almeida,F,24.0,168.0,58.0,Brazil,Equestrianism
athlete_80,Berik Abdrakhmanov,M,,165.0,60.0,Kazak_stan,
athlete_81,Ren Mengqian,F,22.0,,66.0,China,
athlete_82,Otryady Gndegmaa,,38.0,168.0,63.0,Mongolia,
athlete_83,Jeyvier Jess Cintrn Ocasio,M,21.0,171.0,52.0,,Boxing
athlete_84,Henriette Nadege Koulla,F,,,,Cameroon,Volleyball
athlete_85,Billy Odhiambo,M,22.0,184.0,95.0,Kenya,Rugby Sevens
athlete_86,Giulia Conti,F,,173.0,62.0,Italy,Sailing
athlete_87,Henriette Nadege Koulla,F,23.0,169.0,67.0,Camroon,
athlete_88,Daulet Yerkinovich Shabanbay,M,22.0,190.0,125.0,KaKakhstan,Wrestling
athlete_89,Paolo Pizzo,M,33.0,180.0,70.0,Italy,Fencing
athlete_90,Elisa Rigaudo,F,36.0,168.0,53.0,Italy,Athletics
athlete_91,Kaspar Taimsoo,M,29.0,194.0,95.0,Est]onia,Rowing?
athlete_92,Kaarle Tapper,M,20.0,,84.0,Finland,Sailing
athlete_93,Janet Owino Awour,F,30.0,165.0,65.0,Kenya,Rugby Sevens
athlete_94,Caroline Aiko Kumahara,F,21.0,166.0,66.0,Brazil,Table Tennis
athlete_95,Ignacio Ortz,M,29.0,180.0,76.0,Argentina,Hockey
athlete_96,Mohammadk Sanad,M,25.0,169.0,82.0,Egypt,
athlete_97,Qin Chenxu,M,17.0,175.0,70.0,China,Cycling
athlete_98,Sebastian Fleischer,M,22.0,179.0,74.0,Denmark,Sailing
athlete_99,Nikolina Moldovan,F,26.0,167.0,67.0,Serbia,Canoeing
athlete_100,Alicia Quirk,F,24.0,173.0,64.0,Australia,Rugby Sevens
