l_id,r_id
athlete_800,athlete_2466
athlete_800,athlete_2498
athlete_800,athlete_2887
athlete_800,athlete_2910
athlete_800,athlete_5725
athlete_800,athlete_6616
athlete_800,athlete_6773
athlete_2466,athlete_2498
athlete_2466,athlete_2887
athlete_2466,athlete_2910
athlete_2466,athlete_5725
athlete_2466,athlete_6616
athlete_2466,athlete_6773
athlete_2498,athlete_2887
athlete_2498,athlete_2910
athlete_2498,athlete_5725
athlete_2498,athlete_6616
athlete_2498,athlete_6773
athlete_2887,athlete_2910
athlete_2887,athlete_5725
athlete_2887,athlete_6616
athlete_2887,athlete_6773
athlete_2910,athlete_5725
athlete_2910,athlete_6616
athlete_2910,athlete_6773
athlete_5725,athlete_6616
athlete_5725,athlete_6773
athlete_6616,athlete_6773
athlete_635,athlete_2694
athlete_635,athlete_3711
athlete_635,athlete_3944
athlete_635,athlete_4624
athlete_635,athlete_5736
athlete_635,athlete_6139
athlete_635,athlete_6327
athlete_2694,athlete_3711
athlete_2694,athlete_3944
athlete_2694,athlete_4624
athlete_2694,athlete_5736
athlete_2694,athlete_6139
athlete_2694,athlete_6327
athlete_3711,athlete_3944
athlete_3711,athlete_4624
athlete_3711,athlete_5736
athlete_3711,athlete_6139
athlete_3711,athlete_6327
athlete_3944,athlete_4624
athlete_3944,athlete_5736
athlete_3944,athlete_6139
athlete_3944,athlete_6327
athlete_4624,athlete_5736
athlete_4624,athlete_6139
athlete_4624,athlete_6327
athlete_5736,athlete_6139
athlete_5736,athlete_6327
athlete_6139,athlete_6327
athlete_12,athlete_2457
athlete_12,athlete_4835
athlete_12,athlete_5172
athlete_2457,athlete_4835
athlete_2457,athlete_5172
athlete_4835,athlete_5172
athlete_52,athlete_80
athlete_52,athlete_1507
athlete_52,athlete_3854
athlete_52,athlete_4692
athlete_52,athlete_5724
athlete_52,athlete_6839
athlete_52,athlete_7253
athlete_80,athlete_1507
athlete_80,athlete_3854
athlete_80,athlete_4692
athlete_80,athlete_5724
athlete_80,athlete_6839
athlete_80,athlete_7253
athlete_1507,athlete_3854
athlete_1507,athlete_4692
athlete_1507,athlete_5724
athlete_1507,athlete_6839
athlete_1507,athlete_7253
athlete_3854,athlete_4692
athlete_3854,athlete_5724
athlete_3854,athlete_6839
athlete_3854,athlete_7253
athlete_4692,athlete_5724
athlete_4692,athlete_6839
athlete_4692,athlete_7253
athlete_5724,athlete_6839
athlete_5724,athlete_7253
athlete_6839,athlete_7253
athlete_3903,athlete_4986
athlete_3903,athlete_4987
athlete_3903,athlete_5778
athlete_3903,athlete_6658
athlete_3903,athlete_6891
athlete_4986,athlete_4987
athlete_4986,athlete_5778
