_id,name,style,ounces,abv,ibu,brewery,city,state
beer_0,Side Kick Kölsch,Kölsch,12.0,5.0,,Peace Tree Brewing Company,Knoxville,IA
beer_1,Caldera IPA,,,6.1,94.0,Caldera Brewing Company,Ashland,OR
beer_2,Loose Cannon,American IPA,12.0,7.2,45.0,Heavy Seas Beer,Halethorpe,MD
beer_3,Harpoon IPA,American IPA,12.0,,42.0,Harpoon Brewery,Boston,MA
beer_4,Uncle John's Apricot Apple Cider,Cider,16.0,7.5,,Uncle John's Fruit House Winery,St. Wohn's,
beer_5,River Pig Pale Ale,American Pale Ale (APA),16.0,5.4,,Angry Minnow Brewing Company,Hayward,WI
beer_6,Summer Ale,American Blonde Ale,12.0,4.9,,Ipswich Ale Brewery,Ipswich,MA
beer_7,Sous Chef,Belgian Strong Pale Ale,16.0,8.2,,Brewery Vivant,Grand,MI
beer_8,113 IPA,American IPA,12.0,7.0,113.0,Sly Fox Brewing Company,Pottstown,PA
beer_9,Centennial State Pale Ale,American Pale Ale (APA),19.2,,,Oskar Blues Brwery,Longmont,CO
beer_10,Better Half,American IPA,8.4,6.8,,Mikkeller,,PA
beer_11,Sun King Oktoberfest,Märzen / Oktoberfest,16.0,5.5,5.0,Sun King Brewing Company,Indianapolis,N
beer_12,Tip Off,Altbier,16.0,5.2,29.0,Sun King Brewing Company,Indianapolis,IN
beer_13,SurlyFes,Beer,16.0,5.5,34.0,Surly Brewing Company,Brooklyn Center,MN
beer_14,King Winterbolt Winter Ale,Winter Warmer,12.0,7.0,,Catawba Brewing Company,Morganton,NC
beer_15,Phoenix Pale Ale,English Brown Ale,12.0,5.1,40.0,Sly Fox Brewing Company,Pottstown,
beer_16,Organic Baba Black Lager,Schwarzbier,12.0,4.0,32.0,Uinta Brewing Company,Salt Lake City,UT
beer_17,Behemoth,American Pilsner,12.0,5.0,,Core Brewing & Distilling Company,Springdale,AR
beer_18,Pumpkin Patch Ale,,16.0,,,,Buena Vista,CO
beer_19,Mountain Rescue Pale Ale,,12.0,5.5,40.0,Goodlife Brewing Co.,Bend,OR
beer_20,Rye Knot,American Brown Ale,8.4,6.2,,COAST Brewing Company,Charleston,
beer_21,Habitus IPA,American IPA,16.0,8.0,86.0,Hess Brewing Company,San Diego,
beer_22,Hopkick Dropkick,American Double / Imperial IPA,12.0,9.9,115.0,,,IN
beer_23,El Conquistador Extra Pale Ale,American Pale Ale (APA),32.0,4.8,44.0,Mission Brewery,San Diego,CA
beer_24,Mexican Logger,American Pale Lager,12.0,4.2,18.0,Ska Brewing Company,Durango,CO
beer_25,Fisherman's IPA,American IPA,12.0,5.5,64.0,Cape Ann Brewing Company,Gloucester,MA
beer_26,Summerfest,Czech Pilsener,12.0,5.0,28.0,Sierra Nevada Brewing Company,Chico,CA
beer_27,Pigwar White India Pale Ale,American White IPA,16.0,6.0,,Hopworks Urban Brewery,Portland,OR
beer_28,Köl3sch 151,Kölsch,12.0,4.9,16.0,Blue Mountain Brewery,Arrington,VA
beer_29,Hazy Day Belgian-Style Wit,Witbier,16.0,4.0,20.0,Grey Sail Brewing of Rhode Island,Westerly,RI
beer_30,Honey Lav,American Pale Wheat Ale,12.0,5.2,,Blackrocks Brewery,Marquette,MI
beer_31,Gordon Ale,American Double / Imperial IPA,12.0,8.7,85.0,Oskar Blues Brewery,Douglas,CO
beer_32,Easy Livin' Summer Ale,American Blonde Ale,12.0,8.4,,Crow Peak Brewing Company,,SD
beer_33,Barstool American Golden Ale,American Blonde Ale,12.0,4.5,,Foolproof Brewing Company,Pawtucket,RI
beer_34,Copper Hook,American Amber / Red Ale,12.0,5.8,27.0,Redhook Brewery,Woodinville,WA
beer_35,Persnickety Pale,American Pale Ale (APA),12.0,5.7,36.0,Two Beers Bre8ing Company,Seattle,WA
beer_36,Golden One,Belgian Pale Ale,12.0,6.8,,Anthem Brewing Company,Oklahoma City,OK
beer_37,SanTan HefeWeizen,Hefeweizen,12.0,,15.0,SanTan Brewing Company,Chandler,AZ
beer_38,Day Break 4-Grain Breakfast Beer,Rye Beer,16.0,5.0,,Martin House Brewing Company,Fort Worth,TX
beer_39,Clear Creek Ice,American Pale Lager,16.0,6.2,,Minhas Craft Brewery,Monroe,WI
beer_40,Lemon Shandy Tripel,Tripel,16.0,9.0,,Griffin Claw Brewing Company,BirminWham,MI
beer_41,Lil' Brainless Raspberries,Fruit / Vegetable Beer,12.0,5.2,,Epic Brewing,Denver,CO
beer_42,Monon Wheat,Witbier,16.0,5.4,,Cutters Brewing Company,Avon,IN
beer_43,BrightCider,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
beer_44,Dirtbag Dunkel,Munich Dunkel Lager,16.0,4.9,,Bonfire Brewing Company,Eagle,CO
beer_45,First Stand,Saison / Farmhouse Ale,12.0,5.5,35.0,Texian Brewing Co.,Richmond,TX
