l_id,r_id
beer_31,beer_531
beer_31,beer_2248
beer_31,beer_2559
beer_31,beer_2810
beer_531,beer_2248
beer_531,beer_2559
beer_531,beer_2810
beer_2248,beer_2559
beer_2248,beer_2810
beer_2559,beer_2810
beer_807,beer_1150
beer_807,beer_2201
beer_807,beer_2300
beer_807,beer_2691
beer_807,beer_2998
beer_807,beer_3529
beer_807,beer_4559
beer_807,beer_4768
beer_1150,beer_2201
beer_1150,beer_2300
beer_1150,beer_2691
beer_1150,beer_2998
beer_1150,beer_3529
beer_1150,beer_4559
beer_1150,beer_4768
beer_2201,beer_2300
beer_2201,beer_2691
beer_2201,beer_2998
beer_2201,beer_3529
beer_2201,beer_4559
beer_2201,beer_4768
beer_2300,beer_2691
beer_2300,beer_2998
beer_2300,beer_3529
beer_2300,beer_4559
beer_2300,beer_4768
beer_2691,beer_2998
beer_2691,beer_3529
beer_2691,beer_4559
beer_2691,beer_4768
beer_2998,beer_3529
beer_2998,beer_4559
beer_2998,beer_4768
beer_3529,beer_4559
beer_3529,beer_4768
beer_4559,beer_4768
beer_235,beer_503
beer_235,beer_1315
beer_235,beer_1569
beer_235,beer_3575
beer_235,beer_4205
beer_235,beer_4664
beer_235,beer_4738
beer_503,beer_1315
beer_503,beer_1569
beer_503,beer_3575
beer_503,beer_4205
beer_503,beer_4664
beer_503,beer_4738
beer_1315,beer_1569
beer_1315,beer_3575
beer_1315,beer_4205
beer_1315,beer_4664
beer_1315,beer_4738
beer_1569,beer_3575
beer_1569,beer_4205
beer_1569,beer_4664
beer_1569,beer_4738
beer_3575,beer_4205
beer_3575,beer_4664
beer_3575,beer_4738
beer_4205,beer_4664
beer_4205,beer_4738
beer_4664,beer_4738
beer_3212,beer_3830
beer_1100,beer_1485
beer_1100,beer_1752
beer_1100,beer_2085
beer_1100,beer_2626
beer_1100,beer_3038
beer_1100,beer_3344
beer_1100,beer_4953
beer_1485,beer_1752
beer_1485,beer_2085
beer_1485,beer_2626
beer_1485,beer_3038
beer_1485,beer_3344
beer_1485,beer_4953
beer_1752,beer_2085
beer_1752,beer_2626
beer_1752,beer_3038
beer_1752,beer_3344
beer_1752,beer_4953
beer_2085,beer_2626
beer_2085,beer_3038
beer_2085,beer_3344
beer_2085,beer_4953
beer_2626,beer_3038
beer_2626,beer_3344
beer_2626,beer_4953
beer_3038,beer_3344
beer_3038,beer_4953
beer_3344,beer_4953
beer_13,beer_1117
beer_13,beer_1205
beer_13,beer_3128
beer_13,beer_3400
beer_13,beer_3716
beer_13,beer_4105
beer_13,beer_4147
beer_13,beer_5068
beer_1117,beer_1205
beer_1117,beer_3128
beer_1117,beer_3400
beer_1117,beer_3716
beer_1117,beer_4105
beer_1117,beer_4147
beer_1117,beer_5068
beer_1205,beer_3128
beer_1205,beer_3400
beer_1205,beer_3716
beer_1205,beer_4105
beer_1205,beer_4147
beer_1205,beer_5068
beer_3128,beer_3400
beer_3128,beer_3716
beer_3128,beer_4105
beer_3128,beer_4147
beer_3128,beer_5068
beer_3400,beer_3716
beer_3400,beer_4105
beer_3400,beer_4147
beer_3400,beer_5068
beer_3716,beer_4105
beer_3716,beer_4147
beer_3716,beer_5068
beer_4105,beer_4147
beer_4105,beer_5068
beer_4147,beer_5068
beer_376,beer_871
beer_376,beer_929
beer_376,beer_3226
beer_871,beer_929
beer_871,beer_3226
beer_929,beer_3226
beer_15,beer_769
beer_15,beer_1232
beer_15,beer_4005
beer_15,beer_4741
beer_15,beer_5316
beer_769,beer_1232
beer_769,beer_4005
beer_769,beer_4741
beer_769,beer_5316
beer_1232,beer_4005
beer_1232,beer_4741
beer_1232,beer_5316
beer_4005,beer_4741
beer_4005,beer_5316
beer_4741,beer_5316
beer_619,beer_992
beer_619,beer_1233
beer_619,beer_1840
beer_619,beer_1958
beer_619,beer_3134
beer_619,beer_4050
beer_619,beer_4565
beer_619,beer_4996
beer_992,beer_1233
beer_992,beer_1840
beer_992,beer_1958
beer_992,beer_3134
beer_992,beer_4050
beer_992,beer_4565
beer_992,beer_4996
beer_1233,beer_1840
beer_1233,beer_1958
beer_1233,beer_3134
beer_1233,beer_4050
beer_1233,beer_4565
beer_1233,beer_4996
beer_1840,beer_1958
beer_1840,beer_3134
beer_1840,beer_4050
beer_1840,beer_4565
beer_1840,beer_4996
beer_1958,beer_3134
beer_1958,beer_4050
beer_1958,beer_4565
beer_1958,beer_4996
beer_3134,beer_4050
beer_3134,beer_4565
beer_3134,beer_4996
beer_4050,beer_4565
beer_4050,beer_4996
beer_4565,beer_4996
beer_280,beer_1899
beer_280,beer_4468
beer_280,beer_4935
beer_1899,beer_4468
beer_1899,beer_4935
beer_4468,beer_4935
beer_1314,beer_1725
beer_1314,beer_1807
beer_1314,beer_2892
beer_1314,beer_4116
beer_1725,beer_1807
beer_1725,beer_2892
beer_1725,beer_4116
beer_1807,beer_2892
beer_1807,beer_4116
beer_2892,beer_4116
beer_78,beer_133
beer_78,beer_1267
beer_78,beer_1909
beer_78,beer_3242
beer_78,beer_3620
beer_78,beer_3686
beer_78,beer_4437
beer_78,beer_4916
beer_133,beer_1267
beer_133,beer_1909
beer_133,beer_3242
beer_133,beer_3620
beer_133,beer_3686
beer_133,beer_4437
beer_133,beer_4916
beer_1267,beer_1909
beer_1267,beer_3242
beer_1267,beer_3620
beer_1267,beer_3686
beer_1267,beer_4437
beer_1267,beer_4916
beer_1909,beer_3242
beer_1909,beer_3620
beer_1909,beer_3686
beer_1909,beer_4437
beer_1909,beer_4916
beer_3242,beer_3620
beer_3242,beer_3686
beer_3242,beer_4437
beer_3242,beer_4916
beer_3620,beer_3686
beer_3620,beer_4437
beer_3620,beer_4916
beer_3686,beer_4437
beer_3686,beer_4916
beer_4437,beer_4916
beer_1733,beer_2132
beer_1733,beer_3232
beer_1733,beer_4214
beer_1733,beer_5366
beer_1733,beer_5383
beer_2132,beer_3232
beer_2132,beer_4214
beer_2132,beer_5366
beer_2132,beer_5383
beer_3232,beer_4214
beer_3232,beer_5366
beer_3232,beer_5383
beer_4214,beer_5366
beer_4214,beer_5383
beer_5366,beer_5383
beer_718,beer_2095
beer_718,beer_3251
beer_718,beer_3894
beer_2095,beer_3251
beer_2095,beer_3894
beer_3251,beer_3894
beer_1472,beer_2938
