name,address,source,amount,matches,num_comparisons,time
studio in a school,"410 west 59th street new york, ny 10019",casa,20000.0,{7990},0,0.00045108795166015625
"selfhelp community services, inc.","520 8th avenue new york, ny 10018",aging,11000.0,{5636},0,0.0007262229919433594
emmanuel baptist church (brooklyn),"279 lafayette avenue brooklyn, ny 11238",hiv/aids faith based initiative,6400.0,{668},0,0.0009391307830810547
"catholic charities neighborhood services, inc.","191 joralemon street brooklyn, ny 11201",transportation - operating costs,6100.48,{1179},0,0.0011591911315917969
st. mel's athletic association,,youth,5000.0,{637},0,0.0014243125915527344
brooklyn academy of music,"30 lafayette avenue brooklyn, ny 11217",local,10000.0,{1307},0,0.0017871856689453125
museum of contemporary african diasporian arts,"80 hanson place brooklyn, ny 11217",boro,3375.0,{4891},0,0.0019919872283935547
"abundant waters, inc.","400 west 43rd street, #36g new york, ny 10036",youth,3500.0,{10579},0,0.0022830963134765625
"community works, inc.","55 west end avenue new york, ny 10023",casa,20000.0,{10073},0,0.0025081634521484375
"folksbiene yiddish theatre, inc.","135 west 29th street 504 new york, ny 10001",local,3500.0,{11348},0,0.0028641223907470703
crown heights preservation committee corp.,"483 albany avenue brooklyn, ny 11203",aging,15000.0,{1635},0,0.0030961036682128906
"regional aid for interim needs, inc.","811 morris park avenue bronx, ny 10462",transportation - operating costs,6100.48,{12688},0,0.003314971923828125
"alvin ailey dance foundation, inc.","the joan weill center for dance new york, ny 10019-4402",boro,3500.0,{6374},0,0.0035440921783447266
"amethyst women's project, inc.","1907 mermaid ave. brooklyn, ny 11224",hiv/aids faith based initiative,6400.0,{4861},0,0.0037581920623779297
"east river development alliance, inc.","12-11 40th avenue long island city, ny 11101",aging,10500.0,{16218},0,0.00398707389831543
marquis studios,"45 main street, suite 849 brooklyn, ny 11201",casa,20000.0,{8117},0,0.00419926643371582
bedford central presbyterian church,"1200 dean street brooklyn, ny 11216",hiv/aids faith based initiative,6400.0,{3328},0,0.004423379898071289
"steinway child and family services, inc.","22-15 43 avenue long island city, ny 11101-5018",boro,3000.0,{1651},0,0.004632234573364258
"green guerillas, inc.","232 east 11th street new york, ny 10003",local,10000.0,{7544},0,0.004986286163330078
"russian american cultural heritage center, inc., the","34 hillside ave 4c new york, ny 10040",youth,3500.0,{85},0,0.0052490234375
"mid-bronx senior citizens council, inc.","900 grand concourse bronx, ny 10451",transportation - operating costs,6100.48,{13995},0,0.005477190017700195
"rooftop films, inc.","232 third street, suite d101 brooklyn, ny 11215",boro,3500.0,{14903},0,0.0056781768798828125
"sports and arts in schools foundation, inc.","58-12 queens blvd woodside, ny 11377",youth,6000.0,{3825},0,0.005938053131103516
"fort greene senior citizens council, inc.","966 fulton street brooklyn, ny 11238",transportation - operating costs,6100.48,{1583},0,0.006140947341918945
"services now for adult persons (snap), inc.","80-45 winchester blvd cbu 29 queens village, ny 11427",local,5000.0,{2503},0,0.006556987762451172
renaissance - ems,"3251 third avenue bronx, ny 10456",casa,20000.0,{11663},0,0.006766080856323242
american legion / amity post 791,"276 78th street brooklyn, ny 11209",aging,1000.0,{5394},0,0.007003307342529297
godsoffspring christian church,"191 van duzer st. staten island, ny 10303",hiv/aids faith based initiative,6400.0,{13086},0,0.007245063781738281
emmanuel baptist church (bronx),"3711 white plains road bronx, ny 10467",hiv/aids faith based initiative,6400.0,{9552},0,0.007567167282104492
"dancewave, inc.","45 fourth avenue brooklyn, ny 11217",casa,20000.0,{2961},0,0.0079193115234375
"cool culture, inc.","80 hanson place brooklyn, ny 11217-1506",boro,3500.0,{12912},0,0.008182048797607422
